stopId,stopPublicId,name,coordinate,type,flag,stopAccessibilityMask,lines,directionPerLine,id
1892,1892,STEELES AV / PUTNAM GATE,"{'lat': 43.822705, 'lon': -79.311865}",S,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",1892
1897,1897,HARVEST MOON DR / APPLEBY CRES,"{'lat': 43.823769, 'lon': -79.310654}",S,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",1897
1898,1898,HARVEST MOON DR / MAITLAND DR,"{'lat': 43.826202, 'lon': -79.310773}",S,,0,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",1898
1899,1899,HARVEST MOON DR / CLAYTON DR,"{'lat': 43.828283, 'lon': -79.309453}",S,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",1899
16173,6338,KENNEDY RD / CLAYTON DR,"{'lat': 43.828953, 'lon': -79.307108}",S,,1,['008'],['NORTHBOUND'],6338
1900,1900,KENNEDY RD / GORVETTE RD,"{'lat': 43.832129, 'lon': -79.305535}",S,,1,['008'],['NORTHBOUND'],1900
1901,1901,KENNEDY RD / DENISON ST,"{'lat': 43.834217, 'lon': -79.304375}",N,,1,['008'],['NORTHBOUND'],1901
1902,1902,KENNEDY RD / HIGHGLEN AV,"{'lat': 43.838479, 'lon': -79.303474}",S,,1,['008'],['NORTHBOUND'],1902
1903,1903,KENNEDY RD / LEE AV,"{'lat': 43.840864, 'lon': -79.304106}",S,,1,['008'],['NORTHBOUND'],1903
1904,1904,KENNEDY RD / 14TH AV,"{'lat': 43.843316, 'lon': -79.30471}",S,,1,['008'],['NORTHBOUND'],1904
1905,1905,KENNEDY RD / DUFFIELD DR,"{'lat': 43.845964, 'lon': -79.30548}",S,,1,['008'],['NORTHBOUND'],1905
4905,4905,YMCA BLVD / KENNEDY RD,"{'lat': 43.853611, 'lon': -79.308448}",S,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",4905
4906,4906,YMCA BLVD / UNIVERSITY BLVD,"{'lat': 43.853074, 'lon': -79.31081}",S,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",4906
4171,4171,UNIONVILLE GO STATION PLATFORM 5,"{'lat': 43.852154, 'lon': -79.313954}",N,,1,['008'],['NORTHBOUND'],4171
4907,4907,YMCA BLVD / UNIVERSITY BLVD,"{'lat': 43.852767, 'lon': -79.311234}",S,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",4907
4904,4904,YMCA BLVD / KENNEDY RD,"{'lat': 43.85326, 'lon': -79.309213}",S,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",4904
1906,1906,KENNEDY RD STOP # 1906,"{'lat': 43.854747, 'lon': -79.306261}",S,,1,"['008', '522']","['NORTHBOUND', 'EASTBOUND']",1906
1907,1907,KENNEDY RD / UNIONVILLE GATE,"{'lat': 43.855789, 'lon': -79.305354}",S,,1,"['008', '522']","['NORTHBOUND', 'EASTBOUND']",1907
17003,6850,KENNEDY RD / CASTAN AV,"{'lat': 43.857799, 'lon': -79.303456}",S,,1,"['008', '304', '522']","['NORTHBOUND', 'AFTERNOON', 'EASTBOUND']",6850
1909,1909,KENNEDY RD / AVOCA DR,"{'lat': 43.859408, 'lon': -79.302588}",S,,1,"['008', '304', '522']","['NORTHBOUND', 'AFTERNOON', 'EASTBOUND']",1909
17605,7279,KENNEDY RD / HIGHWAY 7,"{'lat': 43.862411, 'lon': -79.303396}",N,,1,"['008', '304']","['NORTHBOUND', 'AFTERNOON']",7279
5000,5000,KENNEDY RD / AUSTIN DR,"{'lat': 43.866377, 'lon': -79.303919}",S,,0,"['008', '304', '522']","['NORTHBOUND', 'AFTERNOON', 'EASTBOUND']",5000
5001,5001,KENNEDY RD / CARLTON RD,"{'lat': 43.869851, 'lon': -79.304843}",S,,1,"['008', '304']","['NORTHBOUND', 'AFTERNOON']",5001
16897,6799,KENNEDY RD STOP # 6799,"{'lat': 43.872688, 'lon': -79.306028}",S,,1,"['008', '304']","['NORTHBOUND', 'AFTERNOON']",6799
5002,5002,KENNEDY RD / THE BRIDLE TRL,"{'lat': 43.875844, 'lon': -79.309673}",S,,1,"['008', '304']","['NORTHBOUND', 'AFTERNOON']",5002
5003,5003,KENNEDY RD / BIRCHVIEW LANE,"{'lat': 43.876842, 'lon': -79.312689}",S,,1,"['008', '304']","['NORTHBOUND', 'AFTERNOON']",5003
5004,5004,KENNEDY RD / 16TH AV,"{'lat': 43.8799, 'lon': -79.31419}",N,,1,"['008', '304']","['NORTHBOUND', 'AFTERNOON']",5004
16960,6821,KENNEDY RD / BECKETT AV,"{'lat': 43.881422, 'lon': -79.314435}",S,,1,"['008', '304', '418']","['NORTHBOUND', 'AFTERNOON', 'MORNING']",6821
16961,6822,KENNEDY RD / WILFRED MURISON AV,"{'lat': 43.884984, 'lon': -79.31543}",S,,1,"['008', '304', '418']","['NORTHBOUND', 'AFTERNOON', 'MORNING']",6822
5005,5005,KENNEDY RD / BUR OAK AV,"{'lat': 43.888251, 'lon': -79.316355}",N,,0,"['008', '304', '418']","['NORTHBOUND', 'AFTERNOON', 'MORNING']",5005
5875,5875,BUR OAK AV / KENNEDY RD,"{'lat': 43.888557, 'lon': -79.315666}",S,,1,"['008', '018', '304', '402', '418']","['NORTHBOUND', 'EASTBOUND', 'AFTERNOON', 'AFTERNOON', 'MORNING']",5875
1344,1344,BUR OAK AV / FAIRLAWN AV,"{'lat': 43.889341, 'lon': -79.312012}",S,,1,"['008', '018', '304', '402', '418']","['NORTHBOUND', 'EASTBOUND', 'AFTERNOON', 'AFTERNOON', 'MORNING']",1344
1346,1346,BUR OAK AV / HENRIETTA ST,"{'lat': 43.889737, 'lon': -79.310452}",S,,1,"['008', '018', '304', '402']","['NORTHBOUND', 'EASTBOUND', 'AFTERNOON', 'AFTERNOON']",1346
1866,1866,WILLIAM BERCZY BLVD / GABLE AV,"{'lat': 43.891759, 'lon': -79.310087}",S,,0,['008'],['NORTHBOUND'],1866
1867,1867,WILLIAM BERCZY BLVD / WEATHERILL RD,"{'lat': 43.893656, 'lon': -79.311592}",S,,1,['008'],['NORTHBOUND'],1867
1868,1868,WILLIAM BERCZY BLVD / CASTLEMORE AV,"{'lat': 43.89497, 'lon': -79.312512}",S,,1,['008'],['NORTHBOUND'],1868
1869,1869,WILLIAM BERCZY BLVD / WINSTON CASTL,"{'lat': 43.89714, 'lon': -79.313444}",S,,0,['008'],['NORTHBOUND'],1869
1870,1870,KENNEDY RD / SCHOOL HOUSE RD,"{'lat': 43.896336, 'lon': -79.318684}",S,,1,"['008', '008', '402']","['NORTHBOUND', 'SOUTHBOUND', 'AFTERNOON']",1870
17638,7312,PROSPECTOR'S DR / MAJOR MACKENZIE D,"{'lat': 43.8969, 'lon': -79.320831}",N,,1,"['008', '008']","['NORTHBOUND', 'SOUTHBOUND']",7312
4798,4798,MAJOR MACKENZIE DR / KENNEDY RD,"{'lat': 43.897339, 'lon': -79.319462}",S,,1,"['008', '025', '402']","['SOUTHBOUND', 'EASTBOUND', 'AFTERNOON']",4798
1871,1871,KENNEDY RD / THE FAIRWAYS,"{'lat': 43.894256, 'lon': -79.318239}",S,,1,"['008', '402']","['SOUTHBOUND', 'AFTERNOON']",1871
1342,1342,KENNEDY RD / ANGUS GLEN BLVD,"{'lat': 43.891385, 'lon': -79.317552}",S,,1,"['008', '402']","['SOUTHBOUND', 'AFTERNOON']",1342
1873,1873,KENNEDY RD / BUR OAK AV,"{'lat': 43.888633, 'lon': -79.31676}",S,,1,['008'],['SOUTHBOUND'],1873
