stopId,lon,tag,title,lat,directions,lines,directionPerLine,id
15746,-79.4797099,24133,2155 Lake Shore Blvd West,43.62615,West,"['301', '501', '507']","['West', 'West', 'West']",15746
5196,-79.4815599,6830,Lake Shore Blvd West At Park Lawn Rd West Side,43.6226,West,"['301', '501', '507']","['West', 'West', 'West']",5196
5186,-79.4831599,5669,Lake Shore Blvd West At Legion Rd,43.62062,West,"['301', '501', '507']","['West', 'West', 'West']",5186
5190,-79.4864499,8858,Lake Shore Blvd West At Louisa St,43.61905,West,"['301', '501', '507']","['West', 'West', 'West']",5190
5193,-79.4893899,9148,Lake Shore Blvd West At Mimico Ave,43.6138599,West,"['301', '501', '507']","['West', 'West', 'West']",5193
5179,-79.4901399,3706,Lake Shore Blvd West At Hillside Ave,43.6112699,West,"['301', '501', '507']","['West', 'West', 'West']",5179
5203,-79.4904499,6466,Lake Shore Blvd West At Symons St,43.60863,West,"['301', '501', '507']","['West', 'West', 'West']",5203
5198,-79.4930299,5230,Lake Shore Blvd West At Royal York Rd,43.60382,West,"['301', '501', '507']","['West', 'West', 'West']",5198
13947,-79.49836,10320,Lake Shore Blvd West At First St,43.6023799,West,"['301', '501', '507']","['West', 'West', 'West']",13947
5168,-79.5006399,1353,Lake Shore Blvd West At Third St,43.60188,West,"['301', '501', '507']","['West', 'West', 'West']",5168
5171,-79.50286,4223,Lake Shore Blvd West At Fifth St,43.6013899,West,"['301', '501', '507']","['West', 'West', 'West']",5171
5180,-79.5050899,6827,Lake Shore Blvd West At Islington Ave,43.6009,West,"['301', '501', '507']","['West', 'West', 'West']",5180
5156,-79.5212499,1593,Lake Shore Blvd West At Twenty Second St,43.59734,West,"['301', '501', '507']","['West', 'West', 'West']",5156
5158,-79.5242699,9317,Lake Shore Blvd West At Twenty Sixth St,43.59667,West,"['301', '501', '507']","['West', 'West', 'West']",5158
5161,-79.52818,6463,Lake Shore Blvd West At Twenty Ninth St,43.5958099,West,"['301', '501', '507']","['West', 'West', 'West']",5161
5162,-79.52966,1737,Lake Shore Blvd West At Thirtieth St,43.5954699,West,"['301', '501', '507']","['West', 'West', 'West']",5162
16646,-79.25208,25013,McCowan Rd At Bushby Dr,43.7744399,North,['302'],['North'],16646
9808,-79.27511,702,McCowan Rd Loop At Steeles Ave East,43.8324399,South,['302'],['South'],9808
14665,-79.45346,14186,Dundas West Station,43.6568199,East,['304A'],['East'],14665
9855,-79.45303,310,Edna Ave At Dundas St West,43.6571299,East,"['304A', '305', '340', '504A', '505']","['East', 'East', 'East', 'East', 'East']",9855
9856,-79.45257,295,Dundas St West At Bloor St West,43.65644,East,"['304A', '305', '504A']","['East', 'East', 'East']",9856
4569,-79.45167,1115,Roncesvalles Ave At Boustead Ave South Side,43.65308,East,"['304A', '504A']","['East', 'East']",4569
15039,-79.45093,14808,Roncesvalles Ave At Howard Park Ave South Side,43.65094,East,"['304A', '504A']","['East', 'East']",15039
14994,-79.4501199,14728,Roncesvalles Ave At Grenadier Rd,43.6488899,East,"['304A', '504A']","['East', 'East']",14994
14993,-79.4489799,14727,Roncesvalles Ave At High Park Blvd South Side,43.6459199,East,"['304A', '504A']","['East', 'East']",14993
4573,-79.44784,7949,Roncesvalles Ave At Galley Ave,43.64298,East,"['304A', '504A']","['East', 'East']",4573
14992,-79.4469399,14726,Roncesvalles Ave At Marion St South Side,43.6406499,East,"['304A', '504A']","['East', 'East']",14992
4582,-79.4462899,10325,Roncesvalles Ave At Queen St West,43.63893,East,"['304A', '504A']","['East', 'East']",4582
4194,-79.44245,1878,King St West At Wilson Park Rd,43.6369399,East,"['304A', '504A']","['East', 'East']",4194
4164,-79.4387199,1398,King St West At Dowling Ave,43.63655,East,"['304A', '504A']","['East', 'East']",4164
4173,-79.4362099,10278,King St West At Jameson Ave,43.63708,East,"['304A', '504A']","['East', 'East']",4173
4168,-79.4333799,5447,King St West At Dunn Ave,43.63765,East,"['304A', '504A']","['East', 'East']",4168
4186,-79.431,945,King St West At Spencer Ave,43.6381299,East,"['304A', '504A']","['East', 'East']",4186
4167,-79.4274899,4568,King St West At Dufferin St,43.63882,East,"['304A', '504A']","['East', 'East']",4167
15353,-79.42372,15145,King St West At Joe Shuster Way,43.6395899,East,"['304A', '504A']","['East', 'East']",15353
4155,-79.42141,5467,King St West At Atlantic Ave,43.6400499,East,"['304A', '504A']","['East', 'East']",4155
4162,-79.41522,5422,King St West At Shaw St,43.6413099,East,"['304A', '504A']","['East', 'East']",4162
